GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,GO X Coordinate,GO Y Coordinate,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract
20183440706,9,AUTO THEFT,Auto Theft,10-Dec-18,2902 HAMPTON RD,3118304.00,10078620,N,19-Dec-18,B,78705,4.01
20185041473,9,THEFT BY SHOPLIFTING,Theft,16-Oct-18,1201 BARBARA JORDAN BLVD,3124601.00,10084923,N,17-Oct-18,B,78723,3.06
20188002409,10,BURGLARY OF VEHICLE,Theft,22-Jun-18,2600 LAKE AUSTIN BLVD,3104471.00,10074894,N,27-Jun-18,B,78703,16.02
20181860919,4,BURGLARY OF RESIDENCE,Burglary,5-Jul-18,5330 N IH 35 SVRD SB,3124538.00,10087177,N,13-Sep-18,I,78751,21.05
20185037796,7,BURGLARY OF VEHICLE,Theft,24-Sep-18,12802 POWDERHORN ST,3129160.00,10126575,N,24-Sep-18,A,78727,18.47
20183131090,3,THEFT,Theft,9-Nov-18,1600 WICKERSHAM LN,3122229.00,10059265,N,18-Dec-18,H,78741,23.18
20185029897,2,BURGLARY OF VEHICLE,Theft,5-Aug-18,4533 S IH 35 SVRD NB,3111190.00,10049228,N,6-Aug-18,F,78744,24.11
20185028985,1,BURGLARY OF VEHICLE,Theft,30-Jul-18,12012 LANSDOWNE RD,3155703.00,10103816,N,3-Aug-18,C,78754,18.56
20185035460,8,THEFT,Theft,9-Sep-18,5800 W SLAUGHTER LN,3072565.00,10045990,N,11-Sep-18,D,78749,17.37
20182360218,1,THEFT,Theft,24-Aug-18,4805 RIBBECKE AVE,3133039.00,10075310,N,3-Sep-18,C,78721,21.09
20181940017,7,BURGLARY OF RESIDENCE,Burglary,13-Jul-18,8109 EXMOOR DR,3118161.00,10104284,N,24-Jul-18,I,78757,18.18
20185051215,10,BURGLARY OF VEHICLE,Theft,20-Dec-18,4411 SPICEWOOD SPRINGS RD,3108358.00,10108761,N,21-Dec-18,B,78731,17.05
20185052251,5,BURGLARY OF VEHICLE,Theft,28-Dec-18,6900 WINDRIFT WAY,3097174.00,10045256,N,2-Jan-19,F,78745,24.24
20185052318,9,THEFT BY SHOPLIFTING,Theft,28-Dec-18,907 W 5TH ST,3110792.00,10071296,N,3-Jan-19,G,78703,12
20182460810,7,THEFT BY SHOPLIFTING,Theft,3-Sep-18,10107 RESEARCH BLVD NB,3112274.00,10116346,C,3-Sep-18,A,78759,17.53
20185030541,7,BURGLARY OF VEHICLE,Theft,9-Aug-18,10011 STONELAKE BLVD,3114834.00,10115974,N,13-Aug-18,A,78759,17.53
20185030554,9,THEFT,Theft,9-Aug-18,801 RED RIVER ST,3116406.00,10070996,,,G,78701,11
20185041715,6,BURGLARY OF VEHICLE,Theft,18-Oct-18,13021 LEGENDARY DR,3116805.00,10131649,N,18-Oct-18,A,78727,17.85
20185023581,7,THEFT,Theft,22-Jun-18,8425 BURNET RD,3118159.00,10106318,N,22-Jun-18,I,78757,18.18
20185031352,8,THEFT FROM AUTO,Theft,14-Aug-18,9125 W SH 71,3062906.00,10065808,N,16-Aug-18,D,78736,17.69
20181850917,6,AUTO THEFT,Auto Theft,4-Jul-18,13201 LEGENDARY DR,3116797.00,10132195,N,26-Jul-18,A,78727,17.85
20182250442,4,AGG ASLT STRANGLE/SUFFOCATE,Agg Assault,13-Aug-18,1001 W RUNDBERG LN,3126932.00,10106065,C,25-Aug-18,E,78758,18.19
20185023858,8,BURGLARY OF VEHICLE,Theft,24-Jun-18,2400 BLOCK STRATFORD DR,3104497.00,10072363,N,25-Jun-18,D,78746,19.1
20182680578,8,AUTO THEFT,Auto Theft,25-Sep-18,4701 MONTEREY OAKS BLVD,3084192.00,10056464,N,9-Oct-18,D,78749,17.49
20182160953,9,THEFT,Theft,4-Aug-18,2110 WIRTZ AVE,3107251.00,10062862,N,11-Sep-18,D,78704,13.05
20182481166,7,THEFT,Theft,5-Sep-18,2525 W ANDERSON LN,3116494.00,10102601,C,5-Sep-18,B,78757,15.01
20185035471,6,THEFT BY SHOPLIFTING,Theft,9-Sep-18,11200 LAKELINE MALL DR,3092523.00,10143915,N,10-Sep-18,A,78613,203.18
20185031390,3,THEFT,Theft,14-Aug-18,501 E STASSNEY LN,3105694.00,10046463,N,16-Aug-18,F,78745,24.02
20185026586,9,BURGLARY OF VEHICLE,Theft,13-Jul-18,3700 N IH 35 SVRD SB,3121003.00,10080324,N,10-Sep-18,B,78705,4.01
20183390563,2,AUTO THEFT,Auto Theft,5-Dec-18,3600 PRESIDENTIAL BLVD,3138850.00,10047302,N,5-Dec-18,AP,78719,9800
20182580174,9,THEFT,Theft,15-Sep-18,E 6TH ST / NECHES ST,3115761.00,10070320,,,G,78701,11
20185024678,8,THEFT,Theft,29-Jun-18,4801 SUMMERSET TRL,3083206.00,10055691,N,2-Jul-18,D,78749,17.49
20182590876,4,BURGLARY NON RESIDENCE,Burglary,16-Sep-18,8216 GEORGIAN DR,3126145.00,10100220,N,21-Sep-18,E,78753,18.06
20185036289,9,THEFT,Theft,13-Sep-18,516 DAWSON RD,3110021.00,10067537,N,14-Sep-18,D,78704,13.05
20185050562,2,BURGLARY OF VEHICLE,Theft,15-Dec-18,901 LITTLE TEXAS LN,3106583.00,10045152,N,23-Dec-18,F,78745,24.02
20185050958,7,BURGLARY OF VEHICLE,Theft,18-Dec-18,13000 N IH 35 SVRD SB,3134503.00,10124881,N,4-Jan-19,E,78753,18.48
20185029471,4,BURGLARY OF VEHICLE,Theft,2-Aug-18,1011 FIELDWOOD DR,3127306.00,10108463,N,2-Aug-18,E,78758,18.22
20185031198,9,THEFT,Theft,13-Aug-18,1201 BARBARA JORDAN BLVD,3124601.00,10084923,N,17-Sep-18,B,78723,3.06
20188004056,9,THEFT FROM BUILDING,Theft,10-Oct-18,1007 S CONGRESS AVE,3113070.00,10065638,N,16-Oct-18,H,78704,14.01
20185028772,3,BURGLARY OF VEHICLE,Theft,28-Jul-18,1705 FRONTIER VALLEY DR,3129781.00,10055371,N,30-Jul-18,H,78741,23.12
20185030669,5,BREACH OF COMPUTER SECURITY,Theft,9-Aug-18,9925 BRODIE LN,3081480.00,10039321,N,1-Nov-18,F,78748,17.46
20182030780,3,BURGLARY OF RESIDENCE,Burglary,22-Jul-18,2508 E 2ND ST,3123034.00,10066270,C,13-Sep-18,C,78702,9.02
20183251675,4,AGG ROBBERY/DEADLY WEAPON,Robbery,21-Nov-18,9845 N LAMAR BLVD,3128820.00,10107476,N,22-Nov-18,E,78753,18.23
20185039062,2,BURGLARY OF VEHICLE,Theft,2-Oct-18,4900 LAMBS LN,3112240.00,10038139,N,3-Oct-18,F,78744,24.27
20185024334,4,AGG SEXUAL ASSAULT CHILD/OBJEC,Rape,27-Jun-18,,,,C,8-Nov-18,E,78753,18.33
20185033612,9,THEFT OF BICYCLE,Theft,28-Aug-18,91 RAINEY ST,3115917.00,10067931,N,28-Aug-18,G,78701,11
20185024877,6,BURGLARY OF VEHICLE,Theft,2-Jul-18,11716 RUNNING FOX TRL,3115617.00,10123308,N,2-Jul-18,A,78759,17.54
20181921613,6,BURGLARY OF RESIDENCE,Burglary,11-Jul-18,7920 SAN FELIPE BLVD,3104597.00,10132546,N,12-Jul-18,A,78729,204.06
20185029749,5,BURGLARY OF VEHICLE,Theft,3-Aug-18,9300 S IH 35 SVRD SB,3100423.00,10033116,N,20-Aug-18,F,78748,24.21
20182471721,10,AGG ROBBERY/DEADLY WEAPON,Robbery,4-Sep-18,12518 RESEARCH BLVD SB,3107386.00,10129033,N,16-Nov-18,A,78759,17.56
20182030577,10,BURGLARY NON RESIDENCE,Burglary,22-Jul-18,8028 MESA DR,3108507.00,10108010,,,B,78731,17.05
20182281570,2,THEFT,Theft,16-Aug-18,1700 TERI RD,3110784.00,10047817,N,4-Sep-18,F,78744,24.11
20185032129,3,BURGLARY OF VEHICLE,Theft,19-Aug-18,2601 S 2ND ST,3108510.00,10060277,N,21-Aug-18,D,78704,13.07
20182200334,8,AUTO THEFT,Auto Theft,8-Aug-18,2901 BARTON SKWY,3099656.00,10067019,C,14-Aug-18,D,78746,19.11
20181910981,6,BURGLARY NON RESIDENCE,Burglary,10-Jul-18,9009 N FM 620 RD,3082092.00,10129758,N,29-Aug-18,A,78726,17.14
20181721498,4,BURGLARY OF RESIDENCE,Burglary,21-Jun-18,8312 N IH 35 SVRD SB,3128227.00,10099667,N,13-Sep-18,E,78753,18.06
20182680599,5,THEFT,Theft,25-Sep-18,7310 SHERWOOD RD,3097668.00,10043017,N,25-Oct-18,F,78745,24.24
20185038318,4,THEFT,Theft,26-Sep-18,1830 W RUNDBERG LN,3122270.00,10108763,N,27-Sep-18,E,78758,18.2
20182000203,1,AUTO THEFT,Auto Theft,19-Jul-18,12428 TAY TER,3153409.00,10109858,N,20-Jul-18,C,78653,18.42
20188003458,9,THEFT OF BICYCLE,Theft,5-Sep-18,311 BOWIE ST,3111087.00,10071101,N,7-Sep-18,G,78703,12
20185023400,2,BURGLARY OF VEHICLE,Theft,21-Jun-18,5406 MEADOW CREST,3117099.00,10043678,N,25-Jun-18,F,78744,24.31
20185028261,1,BURGLARY OF VEHICLE,Theft,25-Jul-18,1857 CORONADO HILLS DR,3132709.00,10091715,N,25-Jul-18,I,78752,18.11
20185028273,2,THEFT,Theft,25-Jul-18,8300 S IH 35 SVRD SB,3102685.00,10036277,N,20-Sep-18,F,78745,24.22
20185028289,4,BURGLARY OF VEHICLE,Theft,25-Jul-18,1071 CLAYTON LN,3126309.00,10089393,N,25-Jul-18,I,78723,21.05
20182930570,2,BURGLARY OF VEHICLE,Theft,20-Oct-18,6004 EUREKA DR,3099666.00,10048379,N,26-Nov-18,F,78745,24.09
20185038959,3,BURGLARY OF VEHICLE,Theft,1-Oct-18,1414 SHORE DISTRICT DR,3119033.00,10061999,N,3-Oct-18,H,78741,23.04
20185036066,1,THEFT,Theft,12-Sep-18,7224 NORTHEAST DR,3133640.00,10090689,N,13-Sep-18,I,78723,21.12
20182390569,1,BURG OF RES - SEXUAL NATURE,Burglary,27-Aug-18,5800 TECHNI CENTER DR,3136581.00,10075175,C,3-Sep-18,C,78721,21.1
20182410455,8,THEFT,Theft,29-Aug-18,5033 W US 290 HWY SVRD EB,3088740.00,10057409,,,D,78749,17.5
20185040518,2,BURGLARY OF VEHICLE,Theft,11-Oct-18,7930 THAXTON RD,3114729.00,10030568,N,13-Nov-18,F,78747,24.26
20185034602,5,BREACH OF COMPUTER SECURITY,Theft,3-Sep-18,1810 ANITA DR,3105594.00,10065597,N,24-Oct-18,D,78704,13.04
20185040287,9,BURGLARY OF VEHICLE,Theft,9-Oct-18,400 W 13TH ST,3113932.00,10073668,N,10-Oct-18,B,78701,7
20185042266,8,BURGLARY OF VEHICLE,Theft,22-Oct-18,7010 W SH 71,3072536.00,10058067,N,30-Oct-18,D,78735,19.08
20182951692,7,BURGLARY NON RESIDENCE,Burglary,22-Oct-18,10515 N MOPAC EXPY SVRD NB,3116529.00,10116684,N,7-Nov-18,A,78758,17.53
20185036947,6,BURGLARY OF VEHICLE,Theft,18-Sep-18,7301 N FM 620 RD,3078853.00,10119608,N,19-Sep-18,A,78726,17.14
20185030379,1,THEFT,Theft,8-Aug-18,6110 BOYCE LN,3155099.00,10106557,N,4-Sep-18,C,78653,18.56
