GO Primary Key (Year plus Incident Number),Council District,GO Highest Offense Desc,Crime Type,GO Report Date,GO Location,Clearance Status,Clearance Date,GO District,GO Location Zip,GO Census Tract,GO X Coordinate,GO Y Coordinate
20183440706,9,AUTO THEFT,Auto Theft,2018-12-10,2902 HAMPTON RD,N,2018-12-19,B,78705,4.01,3118304,10078620
20185041473,9,THEFT BY SHOPLIFTING,Theft,2018-10-16,1201 BARBARA JORDAN BLVD,N,2018-10-17,B,78723,3.06,3124601,10084923
20188002409,10,BURGLARY OF VEHICLE,Theft,2018-06-22,2600 LAKE AUSTIN BLVD,N,2018-06-27,B,78703,16.02,3104471,10074894
20181860919,4,BURGLARY OF RESIDENCE,Burglary,2018-07-05,5330 N IH 35 SVRD SB,N,2018-09-13,I,78751,21.05,3124538,10087177
20185037796,7,BURGLARY OF VEHICLE,Theft,2018-09-24,12802 POWDERHORN ST,N,2018-09-24,A,78727,18.47,3129160,10126575
20183131090,3,THEFT,Theft,2018-11-09,1600 WICKERSHAM LN,N,2018-12-18,H,78741,23.18,3122229,10059265
20185029897,2,BURGLARY OF VEHICLE,Theft,2018-08-05,4533 S IH 35 SVRD NB,N,2018-08-06,F,78744,24.11,3111190,10049228
20185028985,1,BURGLARY OF VEHICLE,Theft,2018-07-30,12012 LANSDOWNE RD,N,2018-08-03,C,78754,18.56,3155703,10103816
20185035460,8,THEFT,Theft,2018-09-09,5800 W SLAUGHTER LN,N,2018-09-11,D,78749,17.37,3072565,10045990
20182360218,1,THEFT,Theft,2018-08-24,4805 RIBBECKE AVE,N,2018-09-03,C,78721,21.09,3133039,10075310
20181940017,7,BURGLARY OF RESIDENCE,Burglary,2018-07-13,8109 EXMOOR DR,N,2018-07-24,I,78757,18.18,3118161,10104284
20185051215,10,BURGLARY OF VEHICLE,Theft,2018-12-20,4411 SPICEWOOD SPRINGS RD,N,2018-12-21,B,78731,17.05,3108358,10108761
20185052251,5,BURGLARY OF VEHICLE,Theft,2018-12-28,6900 WINDRIFT WAY,N,2019-01-02,F,78745,24.24,3097174,10045256
20185052318,9,THEFT BY SHOPLIFTING,Theft,2018-12-28,907 W 5TH ST,N,2019-01-03,G,78703,12,3110792,10071296
20182460810,7,THEFT BY SHOPLIFTING,Theft,2018-09-03,10107 RESEARCH BLVD NB,C,2018-09-03,A,78759,17.53,3112274,10116346
20185030541,7,BURGLARY OF VEHICLE,Theft,2018-08-09,10011 STONELAKE BLVD,N,2018-08-13,A,78759,17.53,3114834,10115974
20185030554,9,THEFT,Theft,2018-08-09,801 RED RIVER ST,,,G,78701,11,3116406,10070996
20185041715,6,BURGLARY OF VEHICLE,Theft,2018-10-18,13021 LEGENDARY DR,N,2018-10-18,A,78727,17.85,3116805,10131649
20185023581,7,THEFT,Theft,2018-06-22,8425 BURNET RD,N,2018-06-22,I,78757,18.18,3118159,10106318
20185031352,8,THEFT FROM AUTO,Theft,2018-08-14,9125 W SH 71,N,2018-08-16,D,78736,17.69,3062906,10065808
20181850917,6,AUTO THEFT,Auto Theft,2018-07-04,13201 LEGENDARY DR,N,2018-07-26,A,78727,17.85,3116797,10132195
